INN,Target.s.,Indications.of.clinical.studies,Record.category,Most.advanced.stage.of.development..global.
Rinatabart sesutecan,FR alpha,Solid tumors,Clinical,Phase 3
Ligelizumab,IgE,"Chronic Inducible Urticaria, Peanut allergy, Chronic Spontaneous Urticaria, Allergy, Asthma, Atopic Dermatitis, Bullous Pemphigoid",Terminated,Phase 3
Garetosmab,Activin A,Fibrodysplasia ossificans progressiva,Clinical,Phase 3
Itepekimab,IL-33,"Chronic Rhinosinusitis Without Nasal Polyps, Bronchiectasis, Chronic Obstructive Pulmonary Disease, Atopic dermatitis, Asthma, Phase 1 in healthy volunteers",Clinical,Phase 3
Fianlimab,LAG-3,"Non-small cell lung cancer, Melanoma, Advanced cancers",Clinical,Phase 3
Mibavademab,LEPR,"Obesity, Familial Partial Lipodystrophy, Generalized Lipodystrophy",Clinical,Phase 3
"Atisnolerbart, bremzalerbart, umesolerbart",Bet v 1,"Allergic Rhinitis Conjunctivitis, Allergy",Clinical,Phase 3
Emactuzumab,CSF-1R,"Tenosynovial Giant Cell Tumor, Malignant Neoplasms of Female Genital Organs, solid tumors",Clinical,Phase 3
Astegolimab,IL-33R,"Atopic Dermatitis, Chronic Obstructive Pulmonary Disease, COVID-19, Asthma, Chronic Rhinosinusitis With Nasal Polyps",Clinical,Phase 3
Vamikibart,IL-6,"Uveitic Macular Edema, Diabetic Macular Edema",Clinical,Phase 3
Afimkibart,TL1a,"Atopic Dermatitis, Crohn Disease, Ulcerative colitis",Clinical,Phase 3
Ersodetug,Insulin receptor,"Hypoglycemia after gastric bypass surgery, Congenital Hyperinsulinism, Hypoglycemia; Phase 1 in healthy volunteers",Clinical,Phase 3
Frexalimab,CD40L,"Diabetes, Systemic Lupus Erythematosus, Sjögren's Syndrome, Multiple sclerosis",Clinical,Phase 3
Riliprubart,Complement C1s,"Chronic Inflammatory Demyelinating Polyneuropathy, Transplant Rejection, autoimmune Haemolytic Anaemia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy, Cold Agglutinin Disease",Clinical,Phase 3
Amlitelimab,OX40L,"Celiac Disease, Alopecia Areata, Hidradenitis, Asthma, Eczema, Atopic dermatitis",Clinical,Phase 3
Finotonlimab,PD-1,"Esophageal Squamous Cell Carcinoma, Colorectal Cancer, NSCLC, Head and neck cancer, Solid tumors",Approved,Approved
Sigvotatug vedotin,Integrin beta-6,"Non-small cell lung cancer, Solid tumors",Clinical,Phase 3
Retlirafusp alfa,"PD-L1, TGF beta","Rectal cancer, cervical Cancer, Perioperative Treatment in Subjects With Locally Advanced Resectable Gastric Cancer or Gastroesophageal Junction Cancer, Small cell lung cancer, Pancreatic cancer, Non-small cell lung cancer, nasopharyngeal carcinoma, solid tumors",Regulatory review,Regulatory review
Drotokibart,IL-4R alpha,"Atopic Dermatitis, Asthma",Clinical,Phase 3
Trastuzumab rezetecan,HER2,"Gynecological malignancies, HER2+ Gastric Cancer/Gastroesophageal Junction Adenocarcinoma, Breast cancer, non-small cell lung cancer, gastric cancer or colorectal cancer, solid tumors",Regulatory review,Regulatory review
Tizetatug rezetecan,TROP-2,"Ovarian cancer, Solid tumors, B cell lymphoma",Clinical,Phase 3
Izalontamab,"EGFR, HER3","Head and Neck Squamous Cell Carcinoma, Non-small cell lung cancer, head and Neck Squamous Cell Carcinoma, Digestive System Malignancies (Colorectal and Gastric Cancer), Epithelium squamous cell carcinoma",Clinical,Phase 3
Apitegromab,Myostatin,"Preservation of lean muscle mass in individuals with obesity, Type 2 or Type 3 Spinal Muscular Atrophy, Phase 1 in health volunteers",Regulatory review,Regulatory review
Navenibart,Plasma kallikrein,Hereditary angioedema,Clinical,Phase 3
Luveltamab tazevibulin,FR alpha,"Acute Myeloid Leukemia, Lung cancer, Ovarian cancer",No development reported,Phase 2/3
"Mazorelvimab, Zamerovimab",Rabies virus (glycoprotein),Rabies (Phase 1 and 2 studies done in healthy adults),Approved,Approved
Ontamalimab,MADCAM-1,"Non-alcoholic steatohepatitis, Crohn's Disease, Ulcerative Colitis",Terminated,Terminated
Uliledlimab,CD73,"Non-small cell lung cancer, Ovarian cancer, Solid tumors",Clinical,Phase 2/3
Felzartamab,CD38,"Lupus nephritis, Immunoglobulin A (IgA) Nephropathy, Systemic lupus erythematosus, Anti-PLA2R Antibody Positive Membranous Nephropathy (newly diagnosed/relapsed/refractory), Multiple myeloma",Clinical,Phase 3
Rosopatamab tetraxetan 177Lu,PSMA,Prostate cancer,Clinical,Phase 3
Siltartoxatug,Tetanus toxin,Infection with  Clostridium bacteria,Approved,Approved
Setrusumab,Sclerostin,"Osteogenesis imperfecta, hypophosphatasia, low bone mineral density",Clinical,Phase 3
Ianalumab,BAFFR,"Diffuse Cutaneous Systemic Sclerosis, Primary Immune Thrombocytopenia, Warm Autoimmune Hemolytic Anemia, Systemic Lupus Erythematosus, Non-Hodgkin Lymphoma, Diffuse Large B Cell Lymphoma, Autoimmune Hepatitis, Systemic Lupus Erythematosus, Pulmonary fibrosis, rheumatoid arthritis, Primary Sjögren's syndrome, Pemphigus Vulgaris, Relapse Remitting Multiple Sclerosis, Leukemia",Clinical,Phase 3
Tobevibart,HBV (HBsAg),"Chronic hepatitis delta, chronic hepatitis B infection",Clinical,Phase 3
Sibeprenlimab,APRIL,"IgA Nephropathy, Phase 1 in healthy subjects",Clinical,Phase 3
Zilovertamab vedotin,ROR1,"Diffuse Large B-Cell Lymphoma, Solid tumors, Hematological malignancies",Clinical,Phase 3
Veligrotug,IGF-1R,"Thyroid eye disease, breast cancer, liver cancer, multiple myeloma",Clinical,Phase 3
Obexelimab,CD19,"Warm Autoimmune Hemolytic Anemia, IgG4-related disease, Systemic Lupus Erythematosus, rheumatoid arthritis",Clinical,Phase 3
Trastuzumab botidotin,HER2,Solid tumors,Regulatory review,Regulatory review
Tagitanlimab,PD-L1,"Breast cancer, non-small cell lung cancer, nasopharyngeal cancer, Lymphoma, solid tumors",Approved,Approved
Ebdarokimab,IL-12/23 p40,"Plaque psoriasis, ulcerative colitis",Regulatory review,Regulatory review
Ebronucimab,PCSK9,"Hyperlipidemia, Homozygous Familial Hypercholesterolemia",Approved,Approved
Ivonescimab,"PD-1, VEGF","
Head and neck cancer, Cutaneous squamous cell carcinoma, Colorectal cancer, Hepatocellular Carcinoma, Small cell lung cancer, Triple-negative breast cancer, Ovarian cancer, Gynecological Tumors, Non-small cell lung cancer, Solid tumors",Approved,Approved
Tarlatamab,"DLL3, CD3","Small-cell lung cancer, neuroendocrine prostate cancer",Approved,Approved
Vilobelimab,Complement C5a,"Squamous Cell Carcinoma, COVID-19, Pyoderma Gangrenosum, ANCA-associated vasculitis, hidradenitis suppurativa, complex cardiac surgery, Sepsis",Approved,Approved
Benmelstobart,PD-L1,"Nasopharyngeal Carcinoma, Endometrial Cancer, Triple-neg breast cancer, Ovarian cancer, Small Cell Lung Cancer, Hodgkin's lymphoma, Head and Neck Squamous Cell Carcinoma, non-small cell lung cancer",Approved,Approved
Cosibelimab ,PD-L1,"Non-small cell lung cancer, cutaneous squamous cell carcinoma, advanced cancer, lymphoma",Approved,Approved
Stapokibart,IL-4R alpha,"Chronic Pruritus of Unknown Origin, Chronic Rhinosinusitis With Nasal Polyps, Severe asthma, COPD, atopic dermatitis",Approved,Approved
Garadacimab,Factor XIIa,"Idiopathic Pulmonary Fibrosis, Hereditary Angioedema, COVID-19, Phase 1 in healthy volunteers",Approved,Approved
Datopotamab deruxtecan,TROP-2,"Breast cancer, Advanced or Metastatic Non-Small Cell Lung Cancer With Actionable Genomic Alterations, Solid tumors",Approved,Approved
Xeligekimab,IL-17A,"Psoriasis,  Axial Spondyloarthritis",Approved,Approved
Zolbetuximab,Claudin-18.2,"Pancreatic cancer, CLDN18.2-positive Gastric Adenocarcinoma;   CLDN18.2-positive Adenocarcinoma of Esophagus;   CLDN18.2-positive Adenocarcinoma of the Gastroesophageal Junction, solid tumors",Approved,Approved
Batoclimab,FcRn,"Chronic Inflammatory Demyelinating Polyneuropathy, generalized Myasthenia Gravis, Thyroid Eye Disease, Graves' ophthalmopathy, Adult immune thrombocytopenia, myasthenia Gravis, Neuromyelitis Optica Spectrum Disorders",Regulatory review,Regulatory review
Ongericimab,PCSK9,Hypercholesterolemia,Approved,Approved
Catumaxomab,"EPCAM, CD3","Malignant Ascites Due to Epithelial Carcinoma, ovarian cancer, gastric cancer",Approved,Approved
Donanemab,Amyloid beta (N3pG),Alzheimer disease,Approved,Approved
Narsoplimab,MASP-2,"Steroid-dependent IgA nephropathy, Thrombotic Microangiopathies, Atypical hemolytic uremic syndrome (Phase 1 in healthy volunteers)",Regulatory review,Regulatory review
Marstacimab,Tissue factor pathway inhibitor,"Severe hemophilia, Phase 1 in healthy subjects",Approved,Approved
"Iparomlimab, Tuvonralimab","PD-1, CTLA-4","Hepatocellular carcinoma, Nasopharyngeal Carcinoma, Non-small cell lung cancer, small cell lung cancer, renal cell carcinoma, cervical cancer, solid tumors",Approved,Approved
Iparomlimab,PD-1,Cervical Cancer,Regulatory review,Regulatory review
Odronextamab,"CD20, CD3","Follicular Lymphoma, DLBCL, CD20+ B-cell malignancies",Approved,Approved
Linvoseltamab,"BCMA, CD3","Chronic Kidney Disease, Multiple myeloma",Regulatory review,Regulatory review
Enlonstobart,PD-1,"Triple Negative Breast Cancer, Epithelial Ovarian Cancer, uterine cervical cancer, solid tumors",Approved,Approved
Recaticimab,PCSK9,"Hypercholesterolemia, Hyperlipidemia",Regulatory review,Regulatory review
Vunakizumab,IL-17A,"Graves' Orbitopathy, Lupus Nephritis, Ankylosing Spondylitis, Plaque Psoriasis, axial spondyloarthritis, Phase 1 in healthy volunteers",Approved,Approved
Sacituzumab tirumotecan,TROP-2,"Gastrointestinal cancers, Endometrial cancer, Triple-neg breast cancer, Non-small cell lung cancer, Solid tumors",Approved,Approved
Suciraslimab,CD22,"Systemic lupus erythematosus, rheumatoid arthritis, non-Hodgkin lymphoma ",Regulatory review,Regulatory review
Axatilimab ,CSF-1R,"Idiopathic Pulmonary Fibrosis,
Chronic Graft-versus-host-disease, COVID-19, solid tumors, Hodgkin's lymphoma, ",Approved,Approved
Patritumab deruxtecan,HER3,"Colorectal cancer, Breast cancer, non-small cell lung cancer",Regulatory review,Regulatory review
Zanidatamab,"HER2, HER2","Endometrial cancer, biliary tract cancer, breast cancer; HER2-positive metastatic gastric, gastroesophageal junction, and esophageal adenocarcinomas; ovarian cancer",Approved,Approved
Bapineuzumab,Amyloid beta (N-terminal),Alzheimer's disease,Terminated,Phase 3
Depatuxizumab mafodotin,EGFR,"Solid tumors, Glioblastoma Multiforme, squamous non-small cell lung cancer, pediatric brain tumors",Terminated,Phase 3
Briakinumab,IL-12/23 p40,"Crohn's disease, psoriasis, multiple sclerosis",Terminated,Regulatory review
Adintrevimab,SARS-CoV-2 (spike protein),COVID-19,Terminated,Phase 2/3
Lirentelimab,Siglec-8,"Atopic Dermatitis, eosinophilic Esophagitis, Eosinophilic Gastritis, Chronic Urticaria, Systemic mastocytosis, Atopic Keratoconjunctivitis, Vernal Keratoconjunctivitis, and Perennial Allergic Conjunctivitis",Terminated,Phase 3
Rilotumumab,HGF,"Glioma, Glioblastoma Multiforme,  Non-Small-Cell Lung cancer, Renal Cell Carcinoma, Esophagogastric Junction Adenocarcinoma, Gastric Cancer, Esophageal Cancer, Prostate Cancer, Small Cell Lung Cancer, Colorectal Cancer",Terminated,Phase 3
Brazikumab,IL-23p19,"Ulcerative colitis, psoriasis, Crohn's Disease",Terminated,Phase 3
Ganitumab,IGF-1R,"Pancreatic Cancer, Non-Small Cell Lung Cancer, Colorectal Cancer, Askin's Tumors, Desmoplastic Small Round Cell Tumors, Extraosseous Ewing's Tumor, Ewing's Family Tumor, Ewing's Sarcoma; Breast Cancer",Terminated,Phase 3
Patritumab,HER3,"Solid tumors, Non-small Cell Lung Cancer, Breast Cancer, head and neck cancer",Terminated,Phase 3
Lomtegovimab,SARS-CoV-2 (spike protein),COVID-19,Terminated,Phase 2/3
Pagibaximab,Staphylococcal lipoteichoic acid,Staphylococcal Sepsis in very low birth weight neonates,Terminated,Phase 2/3
"Crexavibart, ogalvibart",SARS-CoV-2 (spike protein),COVID-19,Terminated,Phase 2/3
Sirukumab,IL-6,"COVID-19, Polymyalgia Rheumatica, Giant Cell Arteritis, Depressive disorder, Lupus Nephritis, Kidney Diseases, Kidney Insufficiency, Glomerulonephritis, Systemic Lupus Erythematosus, Rheumatoid arthritis, asthma",Terminated,Regulatory review
Figitumumab,IGF-1R,"Non-small cell lung cancer, multiple myeloma, breast cancer, prostate cancer, small cell lung cancer",Terminated,Phase 3
Coprelotamab,HER2,Breast cancer,Terminated,Phase 3
Lenvervimab,HBV (HBsAg),Prevention of Hepatitis B virus infection recurrence after liver transplantation,Terminated,Phase 2/3
Andecaliximab,MMP9,"Fibrodysplasia ossificans progressiva, Gastric Adenocarcinoma, Rheumatoid arthritis, chronic obstructive pulmonary disorders, ulcerative colitis, Solid tumors",Clinical,Phase 3
Otilimab ,GM-CSF,"COVID-19, Osteoarthritis, Rheumatoid Arthritis, Multiple Sclerosis",Terminated,Phase 3
Feladilimab,ICOS,"Head and neck cancer, Non-small cell lung cancer, advanced solid tumors, multiple myeloma (Phase 1/2 DREAMM5 study)",Terminated,Phase 3
Zalutumumab,EGFR,"Head and neck cancer, non-small cell lung cancer, colorectal cancer",Terminated,Phase 3
Omburtamab,B7-H3,Refractory Leptomeningeal Metastasis from Neuroblastoma (pediatric),Terminated,Regulatory review
"Lumiliximab, gomiliximab",CD23,"Asthma, chronic lymphocytic leukemia",Terminated,Phase 2/3
Epratuzumab,CD22,"Acute Lymphoblastic Leukaemia, Systemic Lupus Erythematosus, Waldenstrom Macroglobulinemia, Lymphoma ",Terminated,Phase 3
Clivatuzumab tetraxetan,MUC5AC,Pancreatic Cancer,Terminated,Phase 3
Fulranumab,NGF,"Pain associated with Osteoarthritis, Arthralgia, Joint Pain, Urologic Diseases, Diabetic Neuropathy, cancer-related pain in terminally ill patients, Neuralgia",Terminated,Phase 3
Talacotuzumab,CD123,"Acute Myeloid Leukemia, Myelodysplastic Syndromes",Terminated,Phase 2/3
Bermekimab,IL-1 alpha,"Systemic sclerosis, Atopic dermatitis, Hidradenitis Suppurativa, Colorectal cancer, Restenosis, Psoriasis, diabetes, Acne Vulgaris, cachexia in cancer patients, pyoderma gangrenosum, Neutrophilic Dermatoses ",Terminated,Regulatory review
Inolimomab,CD25,Graft-versus-host disease,Terminated,Phase 3
Roledumab,Rhesus D,"Hemolytic disease of newborns, idiopathic thrombocytopenic purpura",Terminated,Phase 2/3
Solanezumab,Amyloid beta (monomers),Alzheimer's Disease,Terminated,Terminated
Tabalumab,BAFF,"Systemic Lupus Erythematosus, Rheumatoid Arthritis, Multiple Myeloma, Multiple Sclerosis, Kidney Failure, Chronic",Terminated,Terminated
Bintrafusp alfa,"PD-L1, TGF beta","Soft-tissue Sarcoma, Triple Negative Breast Neoplasms, Nasopharyngeal Carcinoma, Uterine Cervical Neoplasms, non-small cell lung cancer, biliary tract cancer, solid tumors",Terminated,Terminated
Simaravibart,SARS-CoV-2 (spike protein),COVID-19,Terminated,Phase 2/3
Sabatolimab,TIM3,"Acute myeloid leukemia, Myelodysplastic syndrome, Advanced malignancies, acute myeloid leukemia or high risk myelodysplastic syndrome (single Phase 1 study)",Terminated,Phase 3
Motavizumab,RSV (F glycoprotein),Prevention of RSV infection in high risk infants,Terminated,Regulatory review
Tebotelimab,"LAG-3, PD-1","Melanoma, Head & neck cancer, Hepatocellular carcinoma, gastric cancer, Solid tumors",Terminated,Phase 2/3
Dalotuzumab,IGF-1R,"Breast Cancer, Colorectal Cancer, Non-small-cell Lung cancer, Neuroendocrine Tumors, Pancreatic Cancer, Solid Tumor, Multiple Myeloma",Terminated,Phase 2/3
"Actoxumab, bezlotoxumab",C. difficile (enterotoxin A and B),Clostridium difficile infection,Terminated,Phase 3
Gancotamab,HER2,Breast Cancer,Terminated,Phase 2/3
Farletuzumab,FR alpha,"Ovarian Cancer; Fallopian Tube Cancer, Peritoneal Neoplasms, Pituitary Adenoma, Lung Cancer",Terminated,Phase 3
Efungumab,HSP90,"Adjunctive therapy for Cryptococcal Meningitis in patients with AIDS, breast cancer",Terminated,Regulatory review
Ivuxolimab,OX40,"Kidney cancer, Advanced solid tumors",Terminated,Phase 3
Bococizumab,PCSK9,High cholesterol,Terminated,Phase 3
Utomilumab,4-1BB,"Colorectal cancer, breast cancer, diffuse Large B-Cell Lymphoma, Solid tumors, B cell malignancies",Terminated,Phase 3
Onartuzumab,cMET,"Non-Small Cell Lung Cancer, Glioblastoma, Gastric Cancer, Colorectal Cancer, Breast Cancer",Terminated,Phase 3
"Freneslerbart, mevonlerbart",Fel d 1,"Cat allergy, Allergy",Clinical,Phase 3
Suptavumab,RSV (F glycoprotein),"Phase 1 in healthy volunteers,  Prevention of Medically Attended RSV Infection in Preterm Infants",Terminated,Phase 3
Fasinumab,NGF,"Pain due to Osteoarthritis of the Knee or Hip Pain (Phase 3), low back pain (Phase 2/3)",Terminated,Phase 3
Lampalizumab,Factor D,Geographic atrophy associated with dry age-related macular degeneration,Terminated,Phase 3
Etrolizumab,Integrin beta-7,"Crohn's disease, Ulcerative Colitis",Terminated,Phase 3
Tanezumab,NGF,"Pain (osteoarthritis, post-surgical, chronic)",Terminated,Regulatory review
Gantenerumab,Amyloid beta (N-terminal and central portion aggregated and oligomers),Alzheimer's Disease,Terminated,Phase 3
Begelomab,CD26,Graft-versus-host disease,Terminated,Regulatory review
Tusamitamab ravtansine,CEA,"Gastric cancer, non-squamous Non-small-cell Lung Cancer , Non-small cell lung cancer, solid tumors",Terminated,Phase 3
Rovalpituzumab tesirine,DLL3,Small cell lung cancer,Terminated,Phase 3
Upanovimab,SARS-CoV-2 (spike protein),COVID-19,Terminated,Phase 2/3
Vadastuximab talirine,CD33,"Acute myeloid leukemia, Myelodysplastic Syndrome",Terminated,Phase 3
"Futuximab, modotuximab",EGFR,"Glioma, Lung cancer, Head and Neck cancers, Colorectal Cancer",Terminated,Phase 3
"Dafsolimab setaritox, grisnilimab setaritox","CD3, CD7",Graft vs host disease,Terminated,Phase 3
Otelixizumab,CD3,"Type 1 diabetes, psoriasis, Rheumatoid arthritis, transplant rejection",Terminated,Phase 3
Zilovertamab,ROR1,"Urothelial Carcinoma, Diffuse large B cell lymphoma, Mantle cell lymphoma, Chronic Lymphocytic Leukemia",Terminated,Phase 3
Oportuzumab monatox,EpCAM,"Bladder cancer, head and neck cancer",Terminated,Regulatory review
"Upinitatug rilsodotin, Upifitamab rilsodotin",NaPi2b,"Ovarian cancer, Cancers Likely to Express NaPi2b",Terminated,Phase 3
"Cosfroviximab, larcaviximab, porgaviximab",Ebola virus glycoprotein,Ebola infection,Terminated,Phase 2/3
Abagovomab,MUC16 idiotype,Ovarian cancer,Terminated,Phase 2/3
Belantamab mafodotin,BCMA,Multiple myeloma,Regulatory review,Regulatory review
Verenafusp alfa,Insulin receptor,Mucopolysaccharidosis Type II,Clinical,Phase 2/3
Vecantoxatug,Tetanus toxin,Tetanus prophylaxis,Clinical,Phase 3
